Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Received [Data] packet - Filename: , SeqNum: 18, AckNum: 18, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0009ms
Received [Data] packet - Filename: , SeqNum: 19, AckNum: 19, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0009ms
Received [Data] packet - Filename: , SeqNum: 20, AckNum: 20, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 21, AckNum: 21, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.001ms
Received [Data] packet - Filename: , SeqNum: 22, AckNum: 22, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0009ms
Received [Data] packet - Filename: , SeqNum: 23, AckNum: 23, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.001ms
Received [Data] packet - Filename: , SeqNum: 24, AckNum: 24, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0012ms
Received [Data] packet - Filename: , SeqNum: 25, AckNum: 25, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0553ms
Received [Data] packet - Filename: , SeqNum: 26, AckNum: 26, Length: 14, cwndSize: 10, Checksum: 4294919553, Time: 0.0016ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 27, AckNum: 26, Length: 1024, cwndSize: 11, Checksum: 4294912098, Time: 0.0111ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 28, AckNum: 27, Length: 1024, cwndSize: 11, Checksum: 4294902925, Time: 0.006ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 29, AckNum: 28, Length: 1024, cwndSize: 11, Checksum: 4294963513, Time: 0.0067ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 30, AckNum: 29, Length: 1024, cwndSize: 11, Checksum: 4294918739, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 31, AckNum: 30, Length: 1024, cwndSize: 11, Checksum: 4294912388, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 32, AckNum: 31, Length: 1024, cwndSize: 11, Checksum: 4294943579, Time: 0.0053ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 33, AckNum: 32, Length: 1024, cwndSize: 11, Checksum: 4294933186, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 34, AckNum: 33, Length: 1024, cwndSize: 11, Checksum: 4294902272, Time: 0.0053ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 35, AckNum: 34, Length: 1024, cwndSize: 11, Checksum: 4294948303, Time: 0.0077ms
